metoda,Hellwiga,symbolh,zi,standaryzacja,qi'',unitaryzacja,si'',sr,od,p1,p2
1,Łotwa,LV,0.97,Czechy,1,Czechy,1,0.32,0.158754137,0.16,0.48
2,Wielka Brytania,GB,0.50,Słowenia,0.939920362,Słowenia,0.955779622,0.595723057,0.274526232,0.32,0.87
3,Dania,DK,0.47,Wielka Brytania,0.921404873,Wielka Brytania,0.926279865,0.588124964,0.278781613,0.31,0.87
4,Portugalia,PO,0.43,Szwecja,0.915933142,Szwecja,0.907494044,NA,NA,NA,NA
5,Polska,PL,0.41,Niemcy,0.908578714,Niemcy,0.906500882,NA,NA,NA,NA
6,Rumunia,RO,0.40,Łotwa,0.813761303,Francja,0.818605756,NA,NA,NA,NA
7,Estonia,EE,0.40,Francja,0.807521178,Łotwa,0.789772678,NA,NA,NA,NA
8,Czechy,CZ,0.38,Austria,0.781454976,Austria,0.777203516,NA,NA,NA,NA
9,Grecja,GR,0.36,Dania,0.778094425,Holandia,0.750945045,NA,NA,NA,NA
10,Włochy,IT,0.35,Włochy,0.766029443,Włochy,0.745833051,NA,NA,NA,NA
11,Cypr,CY,0.33,Holandia,0.741493886,Dania,0.733820032,NA,NA,NA,NA
12,Belgia,BE,0.32,Polska,0.705442244,Polska,0.708383511,NA,NA,NA,NA
13,Austria,AT,0.31,Słowacja,0.69575639,Słowacja,0.691885384,NA,NA,NA,NA
14,Holandia,NL,0.26,Finlandia,0.689472898,Finlandia,0.678414149,NA,NA,NA,NA
15,Szwecja,SE,0.25,Węgry,0.642757757,Węgry,0.631093782,NA,NA,NA,NA
16,Chorwacja,HR,0.25,Chorwacja,0.623337879,Chorwacja,0.603144992,NA,NA,NA,NA
17,Francja,FR,0.24,Hiszpania,0.524752343,Hiszpania,0.552044185,NA,NA,NA,NA
18,Węgry,HU,0.24,Portugalia,0.491243625,Litwa,0.500423248,NA,NA,NA,NA
19,Słowacja,SK,0.24,Bułgaria,0.486080539,Portugalia,0.476591883,NA,NA,NA,NA
20,Finlandia,FI,0.24,Litwa,0.486061365,Bułgaria,0.47088876,NA,NA,NA,NA
21,Luksemburg,LU,0.20,Estonia,0.446578067,Estonia,0.422389776,NA,NA,NA,NA
22,Malta,MT,0.20,Grecja,0.395902242,Grecja,0.374704454,NA,NA,NA,NA
23,Niemcy,DE,0.20,Rumunia,0.333582854,Rumunia,0.344036969,NA,NA,NA,NA
24,Słowenia,SI,0.20,Luksemburg,0.289046171,Luksemburg,0.264062691,NA,NA,NA,NA
25,Bułgaria,BG,0.19,Belgia,0.264297606,Belgia,0.241740199,NA,NA,NA,NA
26,Irlandia,IE,0.19,Cypr,0.193488137,Cypr,0.194338946,NA,NA,NA,NA
27,Litwa,LT,0.19,Irlandia,0.038253175,Irlandia,0.001121569,NA,NA,NA,NA
28,Hiszpania,ES,0.19,Malta,0,Malta,0,NA,NA,NA,NA
