Kraj,Chroniony obszar lądowy (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Odzysk odpadów (kg/osoba),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,z',z'',wzorzec,zi,średnia d,odch.stand d,d0
Austria,11,102.4,434,72.7,1.9,3.875,18.7,24.8,2,597,25.4,13,16.7,2214,0.33,2.43,5.93,0.12,9.8,17.8,166.803858,11406.62,0.31,0.12,0.157743992,Austria,0.31,11306.40,2629.98,16566.35
Belgia,10,97.2,231.7619048,79.6,12.7,4.7,22.5,16.7,10,485,2.6,7.4,2.1,2359,0.37,2.27,4.86,0.15,20.5,21.5,74.1,11256.23,0.32,0.13,0.169318684,Belgia,0.32,średnia z,0.32,0.19
Bułgaria,30,103.3,23,45.6,47.1125,6.9875,17.7,18.1,-2,577,9.6,19.9,0.1,262,1.31,2.83,1,0.29,18.3,61.3,33.18,13351.95,0.19,0.01,0.008022665,Bułgaria,0.19,odch stand,0.16,0.78
Chorwacja,37,75.1,583,49,7.2125,7.95,9.857142857,13.5,18,384,22.7,23.4,4.11,1172,0.73,3.26,0,0.2,28.9,30.35714286,48.33333333,12452.71,0.25,0.06,0.077232014,Chorwacja,0.25,NA,NA,NA
Cypr,7,115.4,312,102.5,21.4625,3.1,36,24.2,28,694,3.3,156.8,1.2,2576,0.2,3.09,0.5,0.11,10,25.4,144.9035263,11044.41,0.33,0.15,0.185621148,Cypr,0.33,NA,NA,NA
Czechy,9,120.1,6,27.6,14.3,3.7625,18.8,18.9,1,297,7.4,5.2,7.2,3258,0.83,2.38,2.39,0.27,17.5,18,106.25,10352.21,0.38,0.19,0.238895667,Czechy,0.38,NA,NA,NA
Dania,7,94.8,231.7619048,-35.5,5.6,7.2,18.4,29.4,12,740,16.3,2.2,5.1,4799,0.42,4.68,4.16,0.16,7.7,16.7,68.575,8828.64,0.47,0.28,0.356156352,Dania,0.47,NA,NA,NA
Estonia,16,110.7,276,29.2,40.5125,14.1125,22.4,23.8,-2,398,16.1,10.1,9.6,3651,0.54,2.19,1,0.15,12.1,22,28.25,9966.87,0.40,0.21,0.268553494,Estonia,0.40,NA,NA,NA
Finlandia,13,102.7,231.7619048,53.6,10.2375,8.1,16.5,38.2,7,494,30,48.4,6.3,956,0.38,2.91,8.97,0.31,18.7,17.1,132.7,12655.74,0.24,0.05,0.061606428,Finlandia,0.24,NA,NA,NA
Francja,8,112.4,681,51.4,3.65,4.525,19.5,13.8,4,536,9.3,101.1,1.7,1034,0.14,1.95,36.71,0.34,22,18.8,434.975,12590.52,0.24,0.05,0.066625826,Francja,0.24,NA,NA,NA
