metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si'',sr,od,p1,p2
1,Hiszpania,ES,0.62,Francja,1,Słowenia,1,0.34,0.170276036,0.17,0.51
2,Polska,PL,0.60,Polska,0.995674935,Czechy,0.886924242,0.319920021,0.288232162,0.03,0.61
3,Wielka Brytania,GB,0.54,Niemcy,0.941694217,Włochy,0.853950135,0.543693964,0.234889956,0.31,0.78
4,Słowacja,SK,0.52,Wielka Brytania,0.741113334,Niemcy,0.812791078,NA,NA,NA,NA
5,Rumunia,RO,0.48,Hiszpania,0.609598846,Szwecja,0.776279378,NA,NA,NA,NA
6,Czechy,CZ,0.47,Austria,0.419615176,Hiszpania,0.762170059,NA,NA,NA,NA
7,Włochy,IT,0.44,Rumunia,0.377523541,Wielka Brytania,0.692525627,NA,NA,NA,NA
8,Portugalia,PO,0.41,Włochy,0.367784861,Francja,0.689494295,NA,NA,NA,NA
9,Holandia,NL,0.41,Słowacja,0.333251259,Polska,0.689210085,NA,NA,NA,NA
10,Łotwa,LV,0.40,Węgry,0.319714726,Holandia,0.670758468,NA,NA,NA,NA
11,Finlandia,FI,0.39,Holandia,0.309588984,Austria,0.654198635,NA,NA,NA,NA
12,Bułgaria,BG,0.38,Finlandia,0.302895547,Finlandia,0.622970109,NA,NA,NA,NA
13,Szwecja,SE,0.38,Grecja,0.287745232,Słowacja,0.622072049,NA,NA,NA,NA
14,Słowenia,SI,0.37,Cypr,0.272014736,Dania,0.565885577,NA,NA,NA,NA
15,Belgia,BE,0.36,Czechy,0.266700252,Węgry,0.541471157,NA,NA,NA,NA
16,Grecja,GR,0.36,Malta,0.239244848,Chorwacja,0.536351017,NA,NA,NA,NA
17,Cypr,CY,0.36,Szwecja,0.194675753,Łotwa,0.460248029,NA,NA,NA,NA
18,Litwa,LT,0.35,Belgia,0.194262841,Bułgaria,0.429587085,NA,NA,NA,NA
19,Estonia,EE,0.34,Portugalia,0.185904686,Luksemburg,0.423625343,NA,NA,NA,NA
20,Austria,AT,0.30,Dania,0.145458075,Estonia,0.410490092,NA,NA,NA,NA
21,Malta,MT,0.30,Słowenia,0.119182364,Belgia,0.399098975,NA,NA,NA,NA
22,Irlandia,IE,0.27,Chorwacja,0.105860425,Rumunia,0.378131781,NA,NA,NA,NA
23,Luksemburg,LU,0.23,Bułgaria,0.080349323,Portugalia,0.335844153,NA,NA,NA,NA
24,Chorwacja,HR,0.12,Łotwa,0.049401259,Grecja,0.309719262,NA,NA,NA,NA
25,Węgry,HU,0.12,Litwa,0.046291009,Irlandia,0.2642265,NA,NA,NA,NA
26,Dania,DK,0.10,Estonia,0.046031642,Litwa,0.253659087,NA,NA,NA,NA
27,Niemcy,DE,0.04,Luksemburg,0.006182728,Cypr,0.181748764,NA,NA,NA,NA
28,Francja,FR,-0.15,Irlandia,0,Malta,0,NA,NA,NA,NA
