metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si,sr,od,p1,p2
1,Niemcy,DE,0.92,Niemcy,1,Szwecja,1,0.36,0.179437152,0.18,0.54
2,Francja,FR,0.74,Polska,0.94866795,Finlandia,0.999430016,0.318434241,0.269342249,0.05,0.59
3,Hiszpania,ES,0.69,Francja,0.893832495,Słowenia,0.990609272,0.537543588,0.274915456,0.26,0.81
4,Włochy,IT,0.62,Wielka Brytania,0.686985763,Czechy,0.859855391,NA,NA,NA,NA
5,Finlandia,FI,0.59,Hiszpania,0.573313005,Francja,0.768696516,NA,NA,NA,NA
6,Szwecja,SE,0.42,Finlandia,0.383616008,Włochy,0.761527892,NA,NA,NA,NA
7,Polska,PL,0.37,Austria,0.379736187,Hiszpania,0.734892689,NA,NA,NA,NA
8,Portugalia,PO,0.33,Włochy,0.357550719,Niemcy,0.696046719,NA,NA,NA,NA
9,Słowacja,SK,0.31,Słowacja,0.329196991,Austria,0.695921532,NA,NA,NA,NA
10,Węgry,HU,0.31,Czechy,0.323711005,Słowacja,0.674126718,NA,NA,NA,NA
11,Austria,AT,0.31,Holandia,0.304331291,Holandia,0.650540809,NA,NA,NA,NA
12,Czechy,CZ,0.30,Węgry,0.29999748,Wielka Brytania,0.620546112,NA,NA,NA,NA
13,Bułgaria,BG,0.29,Szwecja,0.285686302,Polska,0.581622738,NA,NA,NA,NA
14,Estonia,EE,0.28,Rumunia,0.263950852,Chorwacja,0.577229506,NA,NA,NA,NA
15,Łotwa,LV,0.28,Grecja,0.248551199,Łotwa,0.577039742,NA,NA,NA,NA
16,Rumunia,RO,0.28,Cypr,0.227795524,Dania,0.55119478,NA,NA,NA,NA
17,Litwa,LT,0.27,Malta,0.201325877,Estonia,0.546507686,NA,NA,NA,NA
18,Chorwacja,HR,0.26,Portugalia,0.197136665,Węgry,0.476227383,NA,NA,NA,NA
19,Wielka Brytania,GB,0.26,Dania,0.196290958,Portugalia,0.335293617,NA,NA,NA,NA
20,Słowenia,SI,0.26,Słowenia,0.172510913,Grecja,0.327864216,NA,NA,NA,NA
21,Grecja,GR,0.25,Belgia,0.150076403,Belgia,0.327273186,NA,NA,NA,NA
22,Dania,DK,0.25,Chorwacja,0.129873486,Luksemburg,0.316743564,NA,NA,NA,NA
23,Holandia,NL,0.25,Łotwa,0.111649658,Rumunia,0.247956491,NA,NA,NA,NA
24,Belgia,BE,0.24,Estonia,0.110684666,Bułgaria,0.228228973,NA,NA,NA,NA
25,Cypr,CY,0.24,Litwa,0.056574084,Irlandia,0.209344507,NA,NA,NA,NA
26,Irlandia,IE,0.24,Irlandia,0.043397297,Litwa,0.20720242,NA,NA,NA,NA
27,Malta,MT,0.24,Bułgaria,0.039715983,Cypr,0.089297989,NA,NA,NA,NA
28,Luksemburg,LU,0.24,Luksemburg,0,Malta,0,NA,NA,NA,NA
