kraj,Chroniony obszar lądowy (% powierzchni państwa),Połowy w regionach rybackich (tys.ton),Indeks wydajnosci zasobów (rok 2000=100),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Odzysk odpadów (kg/osoba),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,11,105.2,366,69,1.9,3.875,19.8,25,3,597,27,15.1,17,2332,0.3,2.37,7.07,0.13,9.4,16.7,166.803858,8634.68,0.35,Austria,0.35,0.345898236,8755.04,2222.89,13200.82
Belgia,10,98.9,231.7619048,76.9,11.6,4.4,22.9,16.9,9,493,3.1,6.8,2.4,2036,0.37,2.22,4.22,0.15,18.8,21.6,76.7,8926.18,0.32,Belgia,0.32,0.32381616,0.34,0.16839036,NA
Bułgaria,30,107.4,24,50.7,47.1125,6.9875,15.9,18.8,0,553,9.2,21.3,0.3,373,1.02,3.19,1,0.25,14.1,60.7,33.18,10586.85,0.20,Bułgaria,0.20,0.198015784,NA,NA,NA
Chorwacja,37,78.7,549,51.6,7.2125,7.95,9.857142857,13.6,12,399,22.2,25.7,4.11,1348,0.72,3.14,0.33,0.2,25.4,30.35714286,48.33333333,9625.03,0.27,Chorwacja,0.27,0.270876395,NA,NA,NA
Cypr,7,105.1,283,95.9,21.4625,3.1,36.8,27.3,31,704,4,178.4,1.5,2476,0.26,3.14,0.17,0.1,10.2,25.2,144.9035263,8492.14,0.36,Cypr,0.36,0.356695531,NA,Na,NA
Czechy,9,125,8,25,14.3,3.7625,18.4,19.1,2,294,8,5.9,8.2,3394,0.79,2.31,6,0.3,10.7,15.8,106.25,7562.80,0.43,Czechy,0.43,0.427096249,NA,NA,NA
Dania,7,98.8,231.7619048,-24,5,7.8,19.9,28.4,12,790,17.8,2.5,5,4272,0.42,4.74,4.24,0.08,7.5,16.8,68.575,6710.38,0.49,Dania,0.49,0.49166921,NA,NA,NA
Estonia,17,98.3,227,24.7,40.5125,14.1125,22.8,29,-7,449,17.1,11.8,8.7,2343,0.54,2.19,0,0.09,10.1,22,28.25,8620.33,0.35,Estonia,0.35,0.346984894,NA,NA,NA
Finlandia,13,106,231.7619048,52.9,10.2375,8.1,16,38.8,5,506,29.6,51.4,6.6,486,0.39,2.66,9.6,0.28,16.5,17.4,132.7,10471.47,0.21,Finlandia,0.21,0.206756117,NA,NA,NA
Francja,8,110.6,687,50.3,3.65,4.525,19,14.3,4,543,10.3,112.8,1.9,1587,0.14,1.87,28.66,0.33,19.5,19,434.975,9389.22,0.29,Francja,0.29,0.288739191,NA,NA,NA
Grecja,16,82.6,215,71.2,20.8125,7.3,21.7,22.2,4,453,8.2,11.2,7,3219,0.42,2.08,0.7,0.12,22.7,28.3,145.5322906,7741.15,0.41,Grecja,0.41,0.413585942,NA,NA,NA
Hiszpania,23,94.6,94,79.6,8.2125,3.8875,25.6,20.6,1,578,9.7,87.2,4,163,0.29,1.77,14.29,0.22,18.1,23.3,259.75,10790.80,0.18,Hiszpania,0.18,0.182565692,NA,NA,NA
Holandia,8,118.2,1,37.7,3.7,2.1,32.1,11.8,12,606,3.3,0.2,2.5,1535,0.33,3.4,12.73,0.21,9.4,15.7,130.75,9424.40,0.29,Holandia,0.29,0.286074819,NA,NA,NA
Irlandia,11,103,97,87.9,12.9,6.4,13,41.2,5,772,3.7,11.7,1,957,0.42,2.45,0.58,0.09,9.2,23.1,21.26666667,10013.00,0.24,Irlandia,0.24,0.241486721,NA,NA,NA
Litwa,10,103.1,155,61.2,6.8375,8.6875,18.5,15.1,4,419,16.5,9.2,4.5,305,0.49,1.75,0,0.17,8.4,28.7,36.93333333,10653.40,0.19,Litwa,0.19,0.19297433,NA,NA,NA
Luksemburg,15,115.7,150,96.7,2.9125,4.4,22,26.5,6,695,2.7,1.1,2.6,487,0.42,2.57,0.24,0.21,15.6,15.9,9.64,10480.03,0.21,Luksemburg,0.21,0.206107839,NA,NA,NA
Łotwa,11,128.9,2,62.5,3.6,12.4,20.4,22.4,2,391,29.6,17.7,8.1,10947,0.3,2.05,0,0.13,10.6,35.1,27.9,465.23,0.96,Łotwa,0.96,0.964757153,NA,NA,NA
Malta,13,120.1,231.7619048,100,16.575,3.35,24.1,8.8,49,654,0.2,0,0.3,618,0.42,3.53,0,0.01,14.2,19.7,143.9141931,10344.84,0.22,Malta,0.22,0.216348763,NA,NA,NA
Niemcy,10,119.8,653,58.5,4.7875,2.7875,27.1,16.3,0,582,9.1,22.6,5.1,430,0.47,2.17,78.03,0.34,11.8,20.6,101.7,10548.00,0.20,Niemcy,0.20,0.200958932,NA,NA,NA
Polska,8,113.5,231.7619048,25.5,21.0125,6.4375,19.3,16.5,7,322,6.9,43.6,1.8,4156,0.78,2.74,10.83,0.2,21.6,34.4,329.4,6797.95,0.49,Polska,0.49,0.485035628,NA,NA,NA
Portugalia,17,97.5,125,81.4,15.4,7.2,27.5,21.2,9,471,21.9,45.7,6.3,4332,0.29,2.74,3.5,0.11,21.4,25,95.7,6630.06,0.50,Portugalia,0.50,0.497753688,NA,NA,NA
Rumunia,13,61.6,251,31.7,15,7.9,34.4,20.5,4,391,18.3,30.5,1,2869,0.62,1.99,2,0.17,19.3,47,239.1,8087.26,0.39,Rumunia,0.39,0.387366615,NA,NA,NA
Słowacja,12,110.7,1,68.3,12.15,6.6875,18.9,14,-1,294,7.8,33.6,6.1,580,0.82,2.07,0,0.16,20.6,21.4,144.0111354,10372.94,0.21,Słowacja,0.21,0.21421973,NA,NA,NA
Słowenia,31,96.5,1,52.5,5.0375,6.8875,18.7,23.7,7,525,15.6,4.5,5.9,463,0.68,2.95,0,0.35,10.1,17.1,23.6,10496.75,0.20,Słowenia,0.20,0.204840877,NA,NA,NA
Szwecja,14,105.7,128,35.8,2.6375,4.3625,12.7,22.4,1,486,44.2,5.5,9.9,1659,0.35,2.52,0.17,0.16,19.2,13.9,71.7,9300.17,0.30,Szwecja,0.30,0.295485628,NA,NA,NA
Węgry,15,131.4,609,60,3.5,5.7,14.8,11.8,3,457,8.6,74.2,1.8,829,0.51,2.76,1.3,0.23,18.1,29.4,144.12425,10143.03,0.23,Węgry,0.23,0.231636296,NA,NA,NA
Wielka Brytania,7,124.3,231.7619048,20.5,9.6,2.6,19.9,11.7,-0.545454545,567,1.8,93.8,3.7,6114,0.31,2.27,11.5,0.15,14.3,22.6,325.2,4849.18,0.63,Wielka Brytania,0.63,0.632660628,NA,NA,NA
Włochy,14,123.6,236,83,5.9,3.9,25.2,14.2,2,557,9.8,35.9,7.9,1977,0.82,2.72,13.88,0.16,20.4,26,144.2523063,8983.78,0.32,Włochy,0.32,0.319453104,NA,NA,NA
wzorzec,37,131.4,1,-24,1.9,2.1,9.857142857,8.8,-7,294,44.2,178.4,17,10947,1.02,4.74,78.03,0.35,7.5,13.9,434.975,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
