metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si,sr,od,p1,p2
1,Łotwa,LV,0.96,Łotwa,1,Czechy,1,0.34,0.168403123,0.17,0.51
2,Wielka Brytania,GB,0.63,Słowenia,0.937558006,Słowenia,0.921859647,0.57137108,0.235675872,0.34,0.81
3,Portugalia,PO,0.50,Czechy,0.923882856,Niemcy,0.859616639,0.545997853,0.258077772,0.29,0.80
4,Dania,DK,0.49,Bułgaria,0.845593629,Wielka Brytania,0.836964033,NA,NA,NA,NA
5,Polska,PL,0.49,Szwecja,0.803882598,Szwecja,0.801318425,NA,NA,NA,NA
6,Czechy,CZ,0.43,Austria,0.751066526,Polska,0.783546044,NA,NA,NA,NA
7,Grecja,GR,0.41,Wielka Brytania,0.715015154,Austria,0.749021826,NA,NA,NA,NA
8,Rumunia,RO,0.39,Chorwacja,0.714029594,Łotwa,0.747678649,NA,NA,NA,NA
9,Cypr,CY,0.36,Włochy,0.688520237,Francja,0.729526901,NA,NA,NA,NA
10,Estonia,EE,0.35,Węgry,0.660564805,Holandia,0.642697687,NA,NA,NA,NA
11,Austria,AT,0.35,Polska,0.645419871,Dania,0.62867044,NA,NA,NA,NA
12,Belgia,BE,0.32,Niemcy,0.634046209,Włochy,0.62191475,NA,NA,NA,NA
13,Włochy,IT,0.32,Dania,0.623619637,Słowacja,0.61410921,NA,NA,NA,NA
14,Szwecja,SE,0.30,Słowacja,0.593761528,Węgry,0.581968824,NA,NA,NA,NA
15,Francja,FR,0.29,Holandia,0.555619447,Hiszpania,0.569486461,NA,NA,NA,NA
16,Holandia,NL,0.29,Estonia,0.555061194,Finlandia,0.564422598,NA,NA,NA,NA
17,Chorwacja,HR,0.27,Finlandia,0.512848512,Chorwacja,0.542817248,NA,NA,NA,NA
18,Irlandia,IE,0.24,Hiszpania,0.510769436,Bułgaria,0.507067788,NA,NA,NA,NA
19,Węgry,HU,0.23,Litwa,0.506759598,Estonia,0.475781576,NA,NA,NA,NA
20,Malta,MT,0.22,Francja,0.494203049,Litwa,0.35705803,NA,NA,NA,NA
21,Słowacja,SK,0.21,Portugalia,0.457553534,Luksemburg,0.351982349,NA,NA,NA,NA
22,Finlandia,FI,0.21,Rumunia,0.39493566,Portugalia,0.350575738,NA,NA,NA,NA
23,Luksemburg,LU,0.21,Luksemburg,0.388320135,Belgia,0.326405926,NA,NA,NA,NA
24,Słowenia,SI,0.20,Belgia,0.371162232,Grecja,0.227026381,NA,NA,NA,NA
25,Niemcy,DE,0.20,Grecja,0.314714438,Rumunia,0.19281061,NA,NA,NA,NA
26,Bułgaria,BG,0.20,Irlandia,0.291270939,Irlandia,0.165168346,NA,NA,NA,NA
27,Litwa,LT,0.19,Malta,0.108211417,Malta,0.138443756,NA,NA,NA,NA
28,Hiszpania,ES,0.18,Cypr,0,Cypr,0,NA,NA,NA,NA
