kraj,Chroniony obszar lądowy (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Odzysk odpadów (kg/osoba),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,11,119.7,376,69.6,2.5,4.2,21.6,22.2,-2,600,27.8,18.1,17.4,2332,0.33,2.35,8.03,0.14,8.5,20.6,167.7,8634.98,0.35,Austria,0.35,0.345910508,8755.17,2223.18,13201.53
Belgia,10,99.2,231.7619048,81.1,9,4.3,21,16.8,4,479,3.6,7.8,2.6,2036,0.41,2.14,6.4,0.17,18,20.8,80.8,8925.86,0.32,Belgia,0.32,0.323877109,0.34,0.17,0.67
Bułgaria,30,105.6,22,51.7,76.3,6.6,16.9,20.4,-4,599,10.5,23.2,0.3,373,1.11,3.28,1,0.26,11.9,44.8,33.18,10588.17,0.20,Bułgaria,0.20,0.19795886,NA,NA,NA
Chorwacja,37,70,490,54.6,12.5,9.8,9.857142857,15.6,9,415,22,26.3,4.11,1348,0.76,2.85,0,0.22,23.6,30.35714286,48.33333333,9622.45,0.27,Chorwacja,0.27,0.271110969,NA,NA,NA
Cypr,7,72.5,232,97.5,28.5,5,29.7,40.1,33,728,5.1,172.7,1.6,2476,0.16,3.02,0,0.09,9,23.3,144.9035263,8491.93,0.36,Cypr,0.36,0.356746553,NA,NA,NA
Czechy,9,130.4,8,27.8,16.3,4.6,17.6,18.6,0,306,8.6,6.3,9,3394,0.78,2.26,2.02,0.29,9.9,15.3,106.25,7563.21,0.43,Czechy,0.43,0.427095844,NA,NA,NA
Dania,7,102.6,231.7619048,-20.1,3.9,7.3,18.4,27,7,830,18.6,2.8,5.6,4272,0.41,4.17,2.56,0.07,8,16.3,68.575,6713.07,0.49,Dania,0.49,0.49149331,NA,NA,NA
Estonia,16,102.4,207,24.7,52,14.2,18,26.4,-5,392,18.9,10.5,9.6,2343,0.69,2.32,0,0.15,12,21.8,28.25,8619.40,0.35,Estonia,0.35,0.347090798,NA,NA,NA
Finlandia,13,105.4,231.7619048,54.1,13.2,8.8,15.5,39,5,521,31.3,53.5,6.5,486,0.39,2.6,5.3,0.29,16.5,17.4,132.7,10471.86,0.21,Finlandia,0.21,0.20676894,NA,NA,NA
Francja,8,113.3,853,50.6,5.4,5.1,17.8,13.9,4,541,11.3,126.9,2,1587,0.54,1.84,38.91,0.33,19,18.5,393.4,9402.58,0.29,Francja,0.29,0.287765667,NA,NA,NA
Grecja,16,86.7,205,73.3,40.1,9.4,22.3,21,2,458,8,11.2,7.8,3219,0.41,2.05,0,0.23,21.9,28.1,145.5322906,7741.23,0.41,Grecja,0.41,0.41361117,NA,NA,NA
Hiszpania,23,109.7,84,81.3,11,4.4,22,17.7,-2,551,10.8,106.7,5.3,163,0.29,1.63,19.26,0.24,24.5,23.8,259.75,10789.76,0.18,Hiszpania,0.18,0.182688822,NA,NA,NA
Holandia,8,115.3,1,34.3,3.1,2,29.3,12.3,8,600,3.6,0.4,2.6,1535,0.14,3.48,8.9,0.2,8.6,14.9,130.75,9424.09,0.29,Holandia,0.29,0.286136151,NA,NA,NA
Irlandia,11,111.6,98,90.4,10.6,6.3,12,35.8,1,718,4.1,11.1,1,957,0.41,2.3,3.85,0.09,13.5,23.7,21.26666667,10010.41,0.24,Irlandia,0.24,0.241723703,NA,NA,NA
Litwa,10,99.6,158,57.8,7.1,9,16.4,16.2,6,428,17.8,9.7,4.6,305,0.37,1.63,1,0.18,13.3,28.3,36.93333333,10653.74,0.19,Litwa,0.19,0.192991979,NA,NA,NA
Luksemburg,15,130.7,157,97.5,3.5,5.3,20,22.7,4,697,2.8,1.1,2.7,487,0.41,2.59,0.83,0.26,17.3,15.5,10,10480.05,0.21,Luksemburg,0.21,0.206149005,NA,NA,NA
Łotwa,11,147.5,2,58.8,3,12.2,20.6,19.1,1,345,29.8,18.5,8.9,10947,0.47,2.08,0,0.16,13.6,34.2,27.4,463.00,0.96,Łotwa,0.96,0.964928475,NA,NA,NA
Malta,13,139.8,231.7619048,100,26.3,5.4,24.5,7.7,43,674,0.2,0,0.4,618,0.41,3.26,0,0.02,12.4,20.1,143.9141931,10345.32,0.22,Malta,0.22,0.216354693,NA,NA,NA
Niemcy,10,121.9,691,61,5.5,2.8,26.3,16.2,-1,589,8.6,26.1,5.4,430,0.48,2.14,92.04,0.36,10.4,20.1,410.2428571,10545.01,0.20,Niemcy,0.20,0.201227954,NA,NA,NA
Polska,8,115.6,231.7619048,30.2,24.6,7,18.7,16.9,8,320,7.7,45.9,2,4156,0.78,2.64,24.8,0.21,17.2,30.5,442.8333333,6797.01,0.49,Polska,0.49,0.485134269,NA,NA,NA
Portugalia,17,93.1,116,83.4,10.8,7,24.2,22.2,4,518,23,52.9,5.7,4332,0.27,2.48,0.26,0.11,21.6,26,95.7,6631.40,0.50,Portugalia,0.50,0.49767911,NA,NA,NA
Rumunia,13,51.9,224,27.9,25.6,8.4,31.3,26.8,1,411,20.5,30.4,1,2869,0.78,1.7,2.5,0.23,17.6,44.2,228.2,8087.33,0.39,Rumunia,0.39,0.387394368,NA,NA,NA
Słowacja,12,106.2,1,64.4,13.6,6.7,19.3,15.4,-5,313,7.7,38.4,7.3,580,0.66,2,0.5,0.15,19.3,20.6,144.0111354,10373.13,0.21,Słowacja,0.21,0.214247531,NA,NA,NA
Słowenia,31,113.3,0,55.1,6.5,6.7,18.7,20.8,5,542,15,4.9,6.1,463,0.92,2.95,1,0.36,10.4,18.5,23.6,10497.16,0.20,Słowenia,0.20,0.204852298,NA,NA,NA
Szwecja,14,105.7,119,37.5,3.1,4.7,14.4,22.1,2,483,45.3,5.8,10.9,1659,0.478,2.57,2.98,0.16,20.2,16.7,71.7,9300.11,0.30,Szwecja,0.30,0.295527804,NA,NA,NA
Węgry,15,118,588,62.3,3.5,5.2,12.2,13.3,-4,454,8.6,76.5,2.1,829,0.35,2.66,4.84,0.23,19.5,28.2,144.12425,10141.88,0.23,Węgry,0.23,0.231764645,NA,NA,NA
Wielka Brytania,7,131.9,231.7619048,26.3,7.9,2.5,19.8,10.9,-0.545454545,541,2.7,94.8,4.1,6114,0.26,2.27,15.18,0.15,15,23.2,325.2,4847.50,0.63,Wielka Brytania,0.63,0.632808025,NA,NA,NA
Włochy,14,126.4,230,82.9,4.9,4,24.3,13.7,-3,552,11.5,47.6,7.5,1977,0.71,2.56,23.66,0.15,21.2,25.5,144.2523063,8983.16,0.32,Włochy,0.32,0.319536351,NA,NA,NA
wzorzec,37,147.5,0,-20.1,2.5,2,9.857142857,7.7,-5,306,45.3,172.7,17.4,10947,1.11,4.17,92.04,0.36,8,14.9,442.8333333,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
