kraj,Chroniony obszar lądowy (% powierzchni państwa),Chroniona powierzchnia lasów (tys. ha),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Erozja gleby przez wodę (% powierzchni kraju),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Odzysk odpadów (kg/osoba),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,15,658.6,376,127.4,15.55,63.2,2,4,21,20.3,1,562,30.2,26.3,19.5,4866,0.31,2.34,127,7.06,0.14,9.5,18.9,170.2,21334.62,0.28,Austria,0.28,0.280260564,21907.13,3867.51,29642.15
Belgia,13,42.35,151,109.4,0.41,78.2,5.5,4.1,18.9,15.1,5,456,5.7,9.2,3.6,539,0.28,2.21,109,11.12,0.17,22.4,20.8,87.3,25573.51,0.14,Belgia,0.14,0.137258525,0.26,0.130473318,NA
Bułgaria,34,580,22,130.9,3.01,39.6,52.6,7.5,12.9,16.3,-5,554,14.1,28,0.5,2597,0.8,2.75,31,2,0.21,21.9,49.2,128.75,23466.99,0.21,Bułgaria,0.21,0.208323599,NA,NA,NA
Chorwacja,15,279,440,96.3,6.95,46.6,8.3,9,12.2,10.4,7,379,25.1,32.3,5.8,3405,0.77,3.03,87,1,0.2,32.3,31.1,128.75,22823.23,0.23,Chorwacja,0.23,0.230041302,NA,NA,NA
Cypr,28,26.41,230,98.6,6.12,100.8,26.4,3.8,29,27.8,31,689,6,209.4,2.8,6256,0.36,2.77,62,2.31,0.09,16.6,24.6,128.75,20356.24,0.31,Cypr,0.31,0.313266946,NA,NA,NA
Czechy,14,750.9,10,146.5,1.34,25.5,15.3,4.1,16.5,16,-2,318,10.5,8.2,12.4,9199,0.8,2.28,74,8.27,0.29,18.3,14.4,128.75,17427.12,0.41,Czechy,0.41,0.412083178,NA,NA,NA
Dania,9,120.26,151,126.7,0.01,-15.7,2.8,6.7,18.7,21,8,509,22.1,3.6,6.1,1509,0.435,4.02,149,0.95,0.06,13.9,18.3,128.75,24642.48,0.17,Dania,0.17,0.168667517,NA,NA,NA
Estonia,18,548.59,215,94.6,2.845,13.6,62.5,17.5,11,25,-6,305,24.6,10.4,12.8,2119,0.435,2.93,49,0.17,0.17,32.9,21.7,128.75,23915.66,0.19,Estonia,0.19,0.193187251,NA,NA,NA
Finlandia,14,4327,151,112,0.01,47.8,12.5,9.3,13,34.4,5,470,32.4,65.5,7.4,3502,0.37,2.68,139,10.47,0.34,21.4,16.9,128.75,21466.23,0.28,Finlandia,0.28,0.275820522,NA,NA,NA
Francja,13,6179.99,742,127.7,3.39,48.9,4.3,4.9,18.5,12.1,1,534,12.7,146.5,2.9,6380,0.435,1.89,109,47.02,0.3,23.3,19.2,444.2,18262.41,0.38,Francja,0.38,0.383903965,NA,NA,NA
Grecja,27,197,319,103.2,9.41,69.1,22.3,8.2,23.2,15.9,2,532,9.8,12.6,8.4,214,0.435,2.64,43,1,0.14,33,27.7,128.75,25818.33,0.13,Grecja,0.13,0.128999227,NA,NA,NA
Hiszpania,27,5463.43,70,146,8.85,76.7,9.1,4,18.4,12.6,0,510,13.8,116.1,6.7,3180,0.23,1.63,105,11.34,0.27,41.5,26.1,128.75,21553.37,0.27,Hiszpania,0.27,0.272880934,NA,NA,NA
Holandia,14,90,2,120.6,0.01,29.9,2,1.8,23.6,11.4,12,571,3.9,0.4,2.5,3339,0.435,3.53,117,8.14,0.2,11.1,15.1,128.75,22971.97,0.23,Holandia,0.23,0.225023403,NA,NA,NA
Irlandia,13,6.47,92,165,0.68,86.6,6.2,5.8,9.5,23.1,2,624,5.7,11.3,1.1,328,0.435,2.45,100,1.58,0.08,28.1,27.3,128.75,25786.00,0.13,Irlandia,0.13,0.130090028,NA,NA,NA
Litwa,12,375,164,116,0.02,81.8,7.2,8.5,13.8,12.4,6,404,19.6,9.9,5.2,722,0.34,1.83,47,2,0.14,35.7,34,31.6,25284.61,0.15,Litwa,0.15,0.14700469,NA,NA,NA
Luksemburg,18,2,138,133.3,2.68,97.1,3.3,4.8,16.7,21.6,4,679,2.9,1.1,2.8,24378,0.435,2.39,112,1.64,0.32,15.8,17.1,9.9,9309.09,0.69,Luksemburg,0.69,0.685950803,NA,NA,NA
Łotwa,11,530.79,1,136.7,0.01,45.5,2.1,10.6,17.5,17.6,2,324,30.4,26.1,9.2,1112,0.26,2.98,51,2,0.14,36.2,38.2,26.4,24869.54,0.16,Łotwa,0.16,0.161007426,NA,NA,NA
Malta,13,538.9,151,154.6,11.36,99,19.5,3.1,27.5,7,33,601,1,27.15,0.2,854,0.435,2.89,67,2.405,0.02,14,21.2,128.75,25104.23,0.15,Malta,0.15,0.153089827,NA,NA,NA
Niemcy,15,9264,828,125.7,1.37,60.3,5,2.8,25.7,15.5,-1,602,10.5,28,5.9,7308,0.5,2.13,134,71.41,0.4,9.8,19.7,442.3,17073.90,0.42,Niemcy,0.42,0.423999215,NA,NA,NA
Polska,19,1607.4,151,122.9,1.09,31.3,22.8,7,16.2,17,5,316,9.3,53.3,3.3,3745,0.73,2.72,40,33,0.26,23.7,27.8,128.75,22021.55,0.26,Polska,0.26,0.257086625,NA,NA,NA
Portugalia,21,0,130,110,4.44,75.1,6.7,6.4,22.9,18.6,6,516,24.2,68.5,5.8,5867,0.23,2.42,71,2.5,0.11,28.2,25.3,128.75,20716.01,0.30,Portugalia,0.30,0.301130011,NA,NA,NA
Rumunia,18,538.9,223,65.4,7.51,21.9,17.3,8.2,31.6,19.7,-1,313,23.4,30.3,1.3,1081,0.82,2.11,48,6.16,0.17,22.1,41.5,172.6,24887.12,0.16,Rumunia,0.16,0.160414511,NA,NA,NA
Słowacja,29,845.6,1,121.8,4.69,63.1,13.5,6.4,18.3,13.3,-3,319,9.1,41,9.1,818,0.61,1.82,43,2.4525,0.18,33.9,20.6,128.75,25035.63,0.16,Słowacja,0.16,0.155404114,NA,NA,NA
Słowenia,36,258.2,0,135.4,18.98,48.7,4.9,7.3,16.5,16,3,490,20.4,7,6.4,3930,0.83,3.62,87,2.4525,0.37,14.7,18.3,128.75,22363.02,0.25,Słowenia,0.25,0.245566799,NA,NA,NA
