kraj,Chroniony obszar lądowy (% powierzchni państwa),Zalesienie (% powierzchni kraju),Akweny wodne (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Erozja gleby przez wodę (% powierzchni kraju),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Odzysk odpadów (kg/osoba),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,15,41,1.7,345,127.2,15.94,64.4,1.8,3.8,19.5,20.9,2,579,31.5,29,18.62,6093,0.29,2.4,116,8.75,0.13,9.4,18.5,180.7,18937.87,0.40,Austria,0.40,0.39851877,20267.58,5608.91,31485.39
Belgia,13,24.3,1.4,0,117.3,0.41,76.1,4.3,3.6,17.4,14.1,6,445,7.2,11.3,4.48,513,0.29,2.15,112,6.87,0.19,19.8,21.6,93.3,24515.80,0.22,Belgia,0.22,0.221359451,0.36,0.18,NA
Bułgaria,34,38.1,1,24,125.4,2.86,36.1,45.2,6.5,12,17.6,-4,460,16,32.7,0.76,2671,0.61,2.67,55,0.5,0.18,28.1,49.3,29.1,22359.52,0.29,Bułgaria,0.29,0.289844722,NA,NA,NA
Chorwacja,37,4.3,0.5,461,104,6.89,49,6,7.7,10.1,9.4,7,391,26.8,32.6,2.4,3368,0.5,2.56,41,0.25,0.21,42.2,32.6,9.8,21664.48,0.31,Chorwacja,0.31,0.311919516,NA,NA,NA
Cypr,28,20.2,0.5,196,133.1,6.18,97,18.8,2.6,25.7,19.2,30,657,6.8,230.9,3.38,6496,0.17,2.58,65,0,0.07,27.7,27.1,9.8,18538.60,0.41,Cypr,0.41,0.411199967,NA,NA,NA
Czechy,14,37.7,1.4,8,157.5,1.26,25.4,14.7,3.6,14.3,15,-1,308,12.8,8.2,13.29,18557,0.86,2.23,81,9.95,0.33,19.5,15.4,96.9,6485.16,0.79,Czechy,0.79,0.794026229,NA,NA,NA
Dania,8,17.6,1.4,0,115,0,-2.2,2.3,5.8,17.1,23.3,7,791,25.7,3.6,7.31,1314,0.17,3.97,135,3.39,0.07,14.1,17.5,66.4,23720.73,0.25,Dania,0.25,0.24661145,NA,NA,NA
Estonia,18,54.9,4.8,205,99.4,0,17,30.7,9.8,12.8,26.9,-6,280,25.8,14,14.86,1527,0.47,2.73,63,0.38,0.2,20.9,23.4,9.8,23502.35,0.25,Estonia,0.25,0.253547328,NA,NA,NA
Finlandia,14,68,10.1,0,116.6,0,46.3,9.5,8.8,14.2,33.1,4,506,34.4,76.9,8.65,2504,0.44,2.98,136,10.11,0.31,19,17.2,9.8,22526.90,0.28,Finlandia,0.28,0.284528583,NA,NA,NA
Francja,13,30.1,1.3,758,130.7,3.37,48.1,3.5,4.4,17,12,1,527,13.4,141.5,3.55,6026,0.17,1.96,100,55.94,0.29,24.4,19.1,442.3,19009.30,0.40,Francja,0.40,0.39625004,NA,NA,NA
