kraj,Chroniony obszar lądowy (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,15,128.4,324,61.3,1.8,3.9,18.9,20.6,4,578,32.4,29.1,18.4,0.307142857,2.38,107,10,0.13,9.7,18.8,182.5,579.67,0.30,Austria,0.30,0.300455088,546.4406,141.0964,828.63
Belgia,13,121.3,231.7619048,77.4,4,3.8,17.5,13.6,6,438,7.5,11.8,4.67,0.318571429,2.07,98,15.42,0.2,23.7,20.8,96,527.63,0.36,Belgia,0.36,0.36,0.3406,0.1703,NA
Bułgaria,34,131,25,37.7,27,6.7,11.1,17.1,-9,432,19,35.8,1.13,0.88375,2.8,20,0,0.19,28.4,48,42.2,514.59,0.38,Bułgaria,0.38,0.378994275,NA,NA,NA
Chorwacja,37,98.3,529,47.1,4,7,10,10,3,404,28,33,3.13,0.705,2.86,53,0,0.21,49.9,29.9,48.33333333,727.38,0.12,Chorwacja,0.12,0.122191238,NA,NA,NA
Cypr,28,173.2,173,96.3,16,2.1,26.2,13.9,29,618,8.1,235.8,4.03,0.247142857,2.72,33,0,0.07,38.9,27.8,144.9035263,533.59,0.36,Cypr,0.36,0.35605689,NA,NA,NA
Czechy,14,159.2,10,27.7,13.2,3.6,14.9,14.8,-3,307,13.8,8,13.47,0.83375,2.13,66,7.33,0.35,18.9,14.6,96.4,437.64,0.47,Czechy,0.47,0.47185684,NA,NA,NA
Dania,8,122.9,231.7619048,12.3,2.3,5.6,15.6,21.9,8,790,27.4,3.9,6.44,0.40625,4.14,129,8.17,0.07,13,18.3,65,742.71,0.10,Dania,0.10,0.103691824,NA,NA,NA
Estonia,18,95,219,11.9,27.7,13.3,10.8,28.8,-8,293,25.6,12,15.65,0.54,2.56,56,0,0.15,18.7,23.5,28.25,546.95,0.34,Estonia,0.34,0.33993281,NA,NA,NA
Finlandia,14,102.1,231.7619048,48.6,8.7,8.3,13.4,37.3,4,493,36.7,69.4,9.07,0.402857143,2.93,133,14.42,0.29,19.9,16,132.7,502.20,0.39,Finlandia,0.39,0.393943896,NA,NA,NA
Francja,13,131.2,904,47.9,3,4.5,16.2,12,2,520,14.1,152.2,3.66,0.14,2.03,113,53.73,0.29,24.9,18.1,444.2,950.79,-0.15,Francja,0.00,-0.147423657,NA,NA,NA
Grecja,27,110.3,246,62.2,12.8,5.8,24.2,12.3,2,482,15,12.8,7.36,0.40625,3.65,61,1,0.23,58.3,35.7,145.5322906,528.97,0.36,Grecja,0.36,0.361634924,NA,NA,NA
Hiszpania,27,209.2,64,70.4,5.6,3.6,18.3,8.3,0,454,15.3,135.1,6.85,0.255714286,1.91,120,28.65,0.24,55.5,27.3,259.75,317.42,0.62,Hiszpania,0.62,0.616931472,NA,NA,NA
Holandia,13,135.7,2,25.7,1.8,1.6,24.1,10.1,5,526,4.8,0.4,2.65,0.303333333,3.3,96,13.98,0.24,13.2,15.9,130.75,491.68,0.41,Holandia,0.41,0.406641217,NA,NA,NA
Irlandia,13,180.8,67,89.1,5.5,5.5,9.4,21.8,4,582,7.7,13.5,1.2,0.40625,2.46,96,2,0.07,26.7,29.9,16.2,603.42,0.27,Irlandia,0.27,0.271784228,NA,NA,NA
Litwa,12,109.7,116,78.3,6.4,8.9,14.1,15.7,2,433,22.7,11.1,5.74,0.39875,1.68,63,1,0.19,21.9,30.8,38.2,536.31,0.35,Litwa,0.35,0.352781373,NA,NA,NA
Luksemburg,18,136.5,75,97.1,2.8,4,18.5,20.8,4,616,3.5,1.3,3.39,0.40625,2.16,114,3.26,0.38,16.9,19,9.64,634.24,0.23,Luksemburg,0.23,0.234593504,NA,NA,NA
Łotwa,12,136.8,1,55.9,2,11.3,14.8,20.8,3,350,37.1,29.2,9.89,0.31375,3.36,43,3,0.18,23.2,35.1,25.5,500.72,0.40,Łotwa,0.40,0.395726551,NA,NA,NA
Malta,13,126.3,231.7619048,104.1,11.8,3,31.2,9,30,579,3.7,0.1,0.06,0.40625,2.69,68,0,0.07,13.7,24,143.9141931,579.80,0.30,Malta,0.30,0.300292479,NA,NA,NA
Niemcy,15,126.9,668,62.7,4.6,2.8,26.1,16.3,-1,615,12.4,29.1,6.04,0.478,2.05,138,92.65,0.42,7.8,20.3,410.2428571,793.11,0.04,Niemcy,0.04,0.042865508,NA,NA,NA
Polska,20,130.5,231.7619048,25.6,20,6.2,14,17.3,4,297,11.4,59.4,4.65,0.80625,2.41,30,34.5,0.23,27.3,25.8,442.8333333,329.73,0.60,Polska,0.60,0.602083021,NA,NA,NA
Portugalia,21,137.9,195,72.4,5.2,5.7,22.7,14,4,440,25.7,78,5.31,0.2475,2.21,81,1,0.09,38.1,27.5,95.7,489.36,0.41,Portugalia,0.41,0.409443277,NA,NA,NA
Rumunia,23,63.4,195,18.5,10.1,7.6,26.4,22.1,-2,254,23.9,27.9,2.06,0.8375,2,55,2,0.19,23.7,41.9,183.1,428.18,0.48,Rumunia,0.48,0.483266476,NA,NA,NA
Słowacja,30,150.9,0,59.2,10.5,6.8,15.1,11.4,-4,304,10.1,38.1,8.18,0.687142857,1.72,42,1,0.17,33.7,19.8,144.0111354,395.26,0.52,Słowacja,0.52,0.522997353,NA,NA,NA
Słowenia,38,171.3,2,46.9,5.6,7.1,12.3,12.2,6,414,22.4,7.1,8.07,0.874285714,3.94,71,2,0.34,21.6,20.4,23.3,520.99,0.37,Słowenia,0.37,0.371260395,NA,NA,NA
Szwecja,14,103.5,144,32,2.4,4.4,12.9,22.6,1,451,52,9.3,16.5,0.35,2.36,140,7.75,0.12,23.6,18.3,72,514.67,0.38,Szwecja,0.38,0.378889079,NA,NA,NA
Węgry,21,152.8,618,49.6,3.2,7.7,12.8,10,-1,378,16.2,87.4,2.45,0.597142857,2.66,58,2,0.21,26.6,34.8,144.12425,727.63,0.12,Węgry,0.12,0.121889348,NA,NA,NA
Wielka Brytania,9,160.3,231.7619048,47.1,5.9,2.3,17,8.9,-0.545454545,482,5.7,108.5,3.24,0.252857143,2.46,130,24,0.13,20.7,24.8,325.2,381.87,0.54,Wielka Brytania,0.54,0.539160959,NA,NA,NA
Włochy,19,188.8,177,76.8,2.4,3.1,18.1,8.3,-2,491,16.7,75.8,10.6,0.763333333,3.45,97,34.92,0.18,40,28.5,144.2523063,463.82,0.44,Włochy,0.44,0.440264095,NA,NA,NA
wzorzec,19,188.8,0,11.9,1.8,1.6,9.4,8.3,-9,254,52,235.8,18.4,0.88375,4.14,140,92.65,0.42,7.8,14.6,444.2,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
