kraj,Chroniony obszar lądowy (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Odzysk odpadów (kg/osoba),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,15,128.6,375,65.8,1.7,3.6,17.5,20.6,2,565,33,27,19.35,4461,2.39,103,0.14,10.3,19.2,157.1,14114.04,0.35,Austria,0.35,0.3514,14263.92,3747.88,21759.69
Belgia,13,126.4,231.7619048,80,3.8,3.1,18.1,13.1,5,426,8,11.2,5,6362,2.08,90,0.21,23.2,21.2,82.3,12211.91,0.44,Belgia,0.44,0.4388,0.34,0.17,NA
Bułgaria,34,121.4,27,34.5,26.2,6.4,11.7,18.8,-6,442,18,37.7,0.96,1013,2.73,31,0.2,23.8,40.1,32,17556.46,0.19,Bułgaria,0.19,0.1932,NA,NA,NA
Chorwacja,37,107.8,544,43.8,3.3,6.1,8.9,9.1,6,387,27.8,33.2,4.03,3012,3.18,91,0.2,44.9,29.3,48.1,15566.94,0.28,Chorwacja,0.28,0.2846,NA,NA,NA
Cypr,29,172.1,177,93.2,19.9,2,19.2,14,32,614,8.9,248.8,3.63,4265,3.05,44,0.07,36,27.4,144.9035263,14306.15,0.34,Cypr,0.34,0.3425,NA,NA,NA
Czechy,14,158.2,9,30.3,12,3.3,13.7,15.2,-4,310,15,8,13.44,6709,2.09,84,0.36,15.9,14.8,111.7,11860.54,0.45,Czechy,0.45,0.4549,NA,NA,NA
Dania,8,124.2,231.7619048,12.4,2,5.1,16.4,21.9,7,789,29.6,4.5,6.25,10453,4,131,0.07,12.6,17.9,67,8144.40,0.63,Dania,0.63,0.6257,NA,NA,NA
Estonia,18,99.8,216,9.2,31.1,10,10.5,28.3,-7,357,26.3,12.1,15.96,2322,2.7,58,0.16,15,26,25.8,16249.31,0.25,Estonia,0.25,0.2532,NA,NA,NA
Finlandia,14,121.6,231.7619048,48.9,7.9,6.3,13,31,4,482,38.7,68,9.29,1411,2.9,129,0.27,20.5,17.3,132.7,17157.51,0.21,Finlandia,0.21,0.2115,NA,NA,NA
Francja,13,134.1,1109,45.9,2.4,4,16.9,11.8,1,519,14.7,140.5,3.87,2241,2.03,112,0.29,24.2,18.5,435.6,16359.69,0.25,Francja,0.25,0.2482,NA,NA,NA
Grecja,27,108,277,66.2,11.3,5.8,19.7,12.7,0,488,15.3,11.5,6.72,6033,3.71,65,0.23,52.4,36,132.7,12541.13,0.42,Grecja,0.42,0.4237,NA,NA,NA
Hiszpania,27,210.3,60,72.9,5.5,3.6,15.9,8.4,1,448,16.1,128.4,7.26,788,1.87,111,0.23,53.2,29.2,252,17775.71,0.18,Hiszpania,0.18,0.1831,NA,NA,NA
Holandia,13,133.3,2,32.7,1.7,1.6,25,10.3,1,527,5.5,0.4,2.67,3315,3.36,98,0.24,12.7,16.5,129.5,15254.60,0.30,Holandia,0.30,0.2990,NA,NA,NA
Irlandia,13,204,66,85.3,4.2,5.2,9.1,20.8,4,562,8.7,14.3,1.16,1714,2.38,98,0.07,23.4,27.7,23.3,16857.93,0.23,Irlandia,0.23,0.2253,NA,NA,NA
Litwa,12,121,119,78,5.8,8.6,14.4,14.8,1,433,23.6,11.8,5.57,1183,1.73,66,0.18,19.3,27.3,37.6,17386.91,0.20,Litwa,0.20,0.2010,NA,NA,NA
