kraj,Chroniony obszar lądowy (% powierzchni państwa),Zalesienie (% powierzchni kraju),Chroniona powierzchnia lasów (tys. ha),Akweny wodne (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Indeks emisji gazów cieplarnianych (rok 2000=100),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,15,42.6,834.77,1.7,131.4,365,60.5,83.8,1.7,3.6,17.5,20.1,2,560,32.8,28.7,20.3,2.38,105,0.14,10.6,18.3,158.4,8454.72,0.31,Austria,0.31,0.306705896,7818.52,2188.24,12194.99
Belgia,13,24.7,47.92,1.5,129.5,231.7619048,84.3,88.8,3.8,3.3,18,12.9,5,412,7.9,12.1,5.17,2.11,90,0.23,22.1,21.1,81.6,9235.41,0.24,Belgia,0.24,0.242688723,0.36,0.18,NA
Bułgaria,34,41.1,578,1,111.5,24,35.4,111.7,19.8,7,9.7,21.3,-6,419,18.2,38.6,2.37,2.91,29,0.2,21.6,41.3,35.9,8705.74,0.29,Bułgaria,0.29,0.286121516,NA,NA,NA
Chorwacja,37,45.7,320,1.1,104,497,48.3,90.1,3.6,6.3,8.3,9.7,4,393,29,35.1,4.94,3.38,61,0.21,42.3,29.1,48,8975.65,0.26,Chorwacja,0.26,0.263989399,NA,NA,NA
Cypr,29,22.8,26.41,0.5,174.4,192,97.7,101.6,15.5,2,17.2,14.2,32,638,9.4,257,3.72,2.96,43,0.06,32.8,28.9,144.9035263,9256.85,0.24,Cypr,0.24,0.2409302,NA,NA,NA
Czechy,14,37.5,751.6,1.4,159.8,9,32.1,79.3,11.7,3.3,13.9,15.9,-1,316,15,8.4,13.68,2.07,87,0.39,12.6,14,120,8526.29,0.30,Czechy,0.30,0.300836764,NA,NA,NA
Dania,8,18.4,123.71,1.5,122.7,231.7619048,13.4,75.8,1.9,5.3,16.5,22.4,7,789,31,4.3,6.33,3.99,131,0.07,10.8,17.7,75.9,9174.42,0.25,Dania,0.25,0.247690017,NA,NA,NA
Estonia,18,57,553.97,4.8,104.4,251,7.3,83.7,24.2,10.6,9.4,27.5,-5.777777778,359,28.6,13.1,15.68,2.77,59,0.16,13.1,24.2,30.7,8732.88,0.28,Estonia,0.28,0.283896427,NA,NA,NA
Finlandia,14,68,4327,10,123.3,231.7619048,47.4,74,7.7,5.9,11.7,30.5,4,500,39.2,67.6,9.91,2.92,131,0.24,22.4,16.8,132.7,4969.23,0.59,Finlandia,0.59,0.592518693,NA,NA,NA
Francja,13,30.1,6179.99,1.4,142.4,902,45.7,82.9,2.3,4,16.4,11.1,0,517,15.1,148.7,4.54,2.15,113,0.29,24.7,17.7,441,3230.06,0.74,Francja,0.74,0.735132682,NA,NA,NA
Grecja,27,31.9,197,1.2,114.9,235,71.7,85,11.1,5.9,19.2,12,0,488,15.3,13.2,7.7,3.83,66,0.27,49.8,35.7,145.5322906,9085.84,0.25,Grecja,0.25,0.254953113,NA,NA,NA
Hiszpania,27,28.8,5481.4,0.9,209.3,64,73.3,89.3,5.9,3.6,15.7,8.8,0,456,16.2,134.5,8.24,1.93,109,0.23,48.3,28.6,267.5,3800.53,0.69,Hiszpania,0.69,0.688353096,NA,NA,NA
Holandia,13,13,92,10.4,127.1,2,51.4,97.2,1.8,1.6,24.7,11,3,523,5.8,0.5,2.67,3.36,100,0.24,11.3,16.4,132,9189.10,0.25,Holandia,0.25,0.246485575,NA,NA,NA
Irlandia,13,11.9,6.47,2.4,253.3,71,88.6,87.4,3.8,5.1,8,20.8,5,655.7777778,9.2,13.6,1.65,1.88,94,0.05,20.2,26,24.3,9283.76,0.24,Irlandia,0.24,0.238724101,NA,NA,NA
Litwa,12,37.9,377,2,123.5,81,78.4,104.5,6.3,8.6,15.4,15,1,448,25.8,13.1,7.11,1.85,66,0.18,16.3,29.3,42.4,8907.19,0.27,Litwa,0.27,0.269602633,NA,NA,NA
