metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si,sr,od,p1,p2,
,Francja,FR,0.75,Słowenia,1,Słowenia,1,0.31,0.16,0.16,0.47,
,Niemcy,DE,0.71,Czechy,0.936083545,Finlandia,0.993323164,0.57,0.25,0.32,0.82,
,Węgry,HU,0.53,Szwecja,0.862974594,Szwecja,0.956849117,0.6,0.24,0.37,0.84,
,Austria,AT,0.45,Wielka Brytania,0.817991973,Czechy,0.92145859,NA,NA,NA,NA,
,Chorwacja,HR,0.43,Hiszpania,0.801982775,Austria,0.815989261,NA,NA,NA,NA,
,Wielka Brytania,GB,0.4,Włochy,0.797550048,Łotwa,0.747241217,NA,NA,NA,NA,
,Cypr,CY,0.38,Francja,0.764699214,Słowacja,0.733393535,NA,NA,NA,NA,
,Malta,MT,0.36,Słowacja,0.76451146,Dania,0.731027197,NA,NA,NA,NA,
,Finlandia,FI,0.35,Finlandia,0.74538458,Wielka Brytania,0.709579027,NA,NA,NA,NA,
,Dania,DK,0.35,Łotwa,0.65516421,Włochy,0.699585474,NA,NA,NA,NA,
,Włochy,IT,0.34,Chorwacja,0.646984982,Francja,0.697525873,NA,NA,NA,NA,
,Grecja,GR,0.34,Holandia,0.639342449,Hiszpania,0.679705052,NA,NA,NA,NA,
,Polska,PL,0.32,Niemcy,0.608913396,Polska,0.636366231,NA,NA,NA,NA,
,Portugalia,PO,0.31,Węgry,0.587617763,Niemcy,0.630002264,NA,NA,NA,NA,
,Belgia,BE,0.29,Dania,0.58610719,Estonia,0.624119125,NA,NA,NA,NA,
,Hiszpania,ES,0.26,Polska,0.567826124,Chorwacja,0.618776395,NA,NA,NA,NA,
,Estonia,EE,0.26,Belgia,0.485510005,Holandia,0.57935996,NA,NA,NA,NA,
,Szwecja,SE,0.25,Estonia,0.419003741,Węgry,0.549478891,NA,NA,NA,NA,
,Luksemburg,LU,0.23,Portugalia,0.414832979,Luksemburg,0.500231828,NA,NA,NA,NA,
,Rumunia,RO,0.22,Irlandia,0.391917839,Rumunia,0.471835924,NA,NA,NA,NA,
,Irlandia,IE,0.21,Luksemburg,0.338904685,Irlandia,0.463229858,NA,NA,NA,NA,
,Litwa,LT,0.21,Grecja,0.315481198,Belgia,0.43991676,NA,NA,NA,NA, 
,Holandia,NL,0.18,Rumunia,0.286108513,Portugalia,0.410410675,NA,NA,NA,NA,
,Słowenia,SI,0.14,Litwa,0.2779626,Bułgaria,0.338679268,NA,NA,NA,NA,
,Bułgaria,BG,0.14,Bułgaria,0.234996338,Grecja,0.310733473,NA,NA,NA,NA,
,Słowacja,SK,0.14,Cypr,0.217290319,Litwa,0.301221238,NA,NA,NA,NA,
,Czechy,CZ,0.13,Malta,0,Cypr,0.274547204,NA,NA,NA,NA,
,Łotwa,LV,0.13,Austria,0.738968201,Malta,0,NA,NA,NA,NA,
