kraj,Chroniony obszar lądowy (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Indeks emisji gazów cieplarnianych (rok 2000=100),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,średnia,odch.stand,do
Austria,15,130.3,368,62.4,84.2,1.9,3.875,17.3,20.4,1.4,564,33.5,31.3,21.25,2.37,109,0.14,11.2,18,143.8347223,663.47,0.45,Austria,0.45,827.15,188.94,1205.02
Belgia,13,135.4,231.7619048,76,83.6,6.63,3.86,15.6,12.5,5.7,420,8.7,13.1,5.8,2.22,82,0.24,20.1,20.7,84.86,851.48,0.29,Belgia,0.29,0.314,0.157,0.470
Bułgaria,34,128.4,27,37.2,106.2,47.1125,6.9875,10,19.4,-4.6,404,18.8,38.9,3.2,2.77,29,0.17,17.2,40.4,33.18,1036.88,0.14,Bułgaria,0.14,NA,NA,NA
Chorwacja,37,104.4,525,47.8,91.3,7.2125,7.95,8.5,10.1,-4,403,28.3,37.9,6.05,3.51,80,0.18,31.8,27.9,48.9,690.69,0.43,Chorwacja,0.43,NA,NA,NA
Cypr,29,155.2,193,96.2,100.8,21.4625,3.1,15.6,16.4,30.7,640,9.3,261.7,4.94,2.96,56,0.06,29.1,27.7,144.9035263,751.54,0.38,Cypr,0.38,NA,NA,NA
Czechy,14,166,9,32.7,81.3,14.3,3.7625,14.5,15.6,-3,339,14.9,9.1,14,2.11,80,0.3,10.5,13.3,106.25,1052.21,0.13,Czechy,0.13,NA,NA,NA
Dania,8,121.4,231.7619048,13.9,76.7,3.12,6.36,18.3,22.9,8.2,777,32.2,5.1,7.67,3.99,129,0.06,12,16.8,68.575,785.70,0.35,Dania,0.35,NA,NA,NA
Estonia,18,110.3,241,6.8,93.6,40.5125,14.1125,10.4,26.5,-5.777777778,376,28.8,11.7,18.02,3.06,65,0.15,13.4,24.4,28.25,895.48,0.26,Estonia,0.26,NA,NA,NA
Finlandia,14,122.3,231.7619048,45.3,76.8,10.2375,8.1,12,31.5,4,504,38.7,69,10.47,3.11,133,0.22,20.1,16.6,132.7,783.61,0.35,Finlandia,0.35,NA,NA,NA
Francja,13,148.3,860,47.1,85,3.65,4.525,17.7,10.8,-3,511,16,165,5.29,2.23,106,0.29,24.6,18.2,434.975,303.76,0.75,Francja,0.75,NA,NA,NA
